Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06909	Water, total (ng/L)	ng/L	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	<1	Water	1	3	66.66666667	0.5	20.36666667
NR-2022-06910	Water, total (ng/L)	ng/L	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	13.1	Water	1	3	66.66666667	13.1	20.36666667
NR-2022-06911	Water, total (ng/L)	ng/L	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	47.5	Water	1	3	66.66666667	47.5	20.36666667
NR-2022-06803	Granule (ng/g, w.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	21.9	Solids	0	6	100	21.9	34.26666667
NR-2022-06802	Sludge (ng/g, d.w.)	ng/g	Appal?kka	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	3.1	Solids	1	3	66.66666667	3.1	5.866666667
NR-2022-06818	Granule (ng/g, w.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	12.2	Solids	0	6	100	12.2	34.26666667
NR-2022-06816	Sludge (ng/g, d.w.)	ng/g	Valle Hovin North	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	<1	Solids	1	3	66.66666667	0.5	5.866666667
NR-2022-06819	Granule (ng/g, w.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	16.9	Solids	0	6	100	16.9	34.26666667
NR-2022-06817	Sludge (ng/g, d.w.)	ng/g	Valle Hovin East	Artificial grass pitch	Outdoor	NA	NA	Outdoor	ABT	14	Solids	1	3	66.66666667	14	5.866666667
NR-2022-06821	Granule (ng/g, w.w.)	ng/g	Obos1	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	37.1	Solids	0	6	100	37.1	34.26666667
NR-2022-06822	Granule (ng/g, w.w.)	ng/g	Obos2	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	58.8	Solids	0	6	100	58.8	34.26666667
NR-2022-06823	Granule (ng/g, w.w.)	ng/g	LSK	Artificial grass pitch	Indoor	NA	NA	Indoor	ABT	58.7	Solids	0	6	100	58.7	34.26666667
NR-2022-06807	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	2.857	Solids	3	4	25	NA	NA
NR-2022-06814	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06824	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Summer	Low	Summer	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06825	Sludge (ng/g, d.w.)	ng/g	Bekkelaget	Wastewater treatment plant	NA	Autumn	Low	Autumn	ABT	<1	Solids	3	4	25	NA	NA
NR-2022-06876	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06877	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06878	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Summer	High	Summer	ABT	<1	Water	12	12	0	NA	NA
NR-2022-06899	Water, total (ng/L)	ng/L	Bekkelaget	Wastewater treatment plant	NA	Autumn	High	Autumn	ABT	<1	Water	12	12	0	NA	NA
