						Bisphenol	Pergfast	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Bisphenol	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	Triazine	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	SVOC	Antioxidant	Antioxidant	Antioxidant	PCB	PCB	PCB	PCB	PCB	PCB	PCB	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	PBDE	CP	CP	CP	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	nBFR	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Dechlorane	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	Metal	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	OPFR_metabolite	NIVA_1	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_3	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Anion	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_vM_Cation	NIVA_TBT	NIVA_GPC	NIVA_1	NIVA_1	NIVA_2	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_1	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	NIVA_2	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	QNH4	UV	UV	UV	UV	UV	UV	UV	UV	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFCA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	PFSA	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	nPFAS	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	PFAS_new	TOF	
Matrix	Species	Filtered		Unit_organic	Unit_metals	AOZKF	PF201	DABPA	XYLENOL	T4HPE	TMBPA	BHPMEBD	UV310	UV1164	BEMT	UV1577	TBHPT	BPAP2	TBRPT	UV1579	DPDT	DBPCLT	23BPDT	22BPDT	TBPHT	DMPTDPP	DMPTTPP	B-2ETF	MPDCH	CUMIN	4NAS	DESHDC	CBZL	BDPME	TLDS	TMPID	DPMPE	FPIMPTH	BZBA	FEFAC	MABT	DMPSHEN	AETT	Sus62	SYLKL	SEROLD	DIUDP	EMOPCC	CTCVB	DCTCVB	TCTDT	ETTSDD	MPSHDOSD	HOTMIKA	BSAN	DTBMMP	DTBTMBPD	MDBHPP	CB28	CB52	CB101	CB118	CB138	CB153	CB180	BDE17	BDE28	BDE47	BDE49	BDE66	BDE71	BDE77	BDE85	BDE99	BDE100	BDE119	BDE126	BDE138	BDE153	BDE154	BDE156	BDE183	BDE184	BDE191	BDE196	BDE197	BDE202	BDE206	BDE207	BDE209	SCCP	MCCP	LCCP	ATE	TBECHA	TBECHB	TBECHG	BATE	PBT	PBEB 	PBBZ	HBBZ	DPTE	EHTBB	BTBPE	BEHTBP	DBDPE	QCB	HCB	HCBD	DBALD	DDC_BBF	DDC_DBF	DDC_ANT	HCTBPH	DDC_PS	DDC_PA	CR	FE	NI	CU	ZN	AS	SE	AG	CD	SN	SB	PB	HG	TEP	TCEP	TPRP	TCPP	TDCP	TPHP	TIBP	TBP	TBEP	DPHBP	DBPHP	TCRP	EHDPP	TIPPP	TEHP	TTBPP	DTBPPO	BCEP	BCPP	DPPO	DBP	BDCPP	BBOEP	DEHPO	DOCDPA	DPGUAN	BMATA	MB2BMP	2BMPP	M1UV328	DTBTP	BHEP	2TBCLBEP	UV1130	BTHPE	HDBTBP	DMO2BP	KRYFIO	CYANA	AAMPSA	NAAHPS	ETPPBR	ADNP	GBLA	BZDSA	TEDA	35DMPZ	34DMPZP	34DMPZ	DBSNMA	AO1098	FBCLBA	PEPEPO	UV329	BNDTT	BEHAMBT	SG3	SORFEN	2BBTMP	2BHMPTP	UV360	UV234	2BMTP	TFMBTP	DTBPPO	QUOX	UV320	2BDOMP	DTBNTP	NTTMP	2BDMP	NTOP	BENAZOL P	DTAPBO	CLBDMP	UV384	DADMAC_C8	DADMAC_C10	DADMAC_C12	DADMAC_C14	DADMAC_C16	DADMAC_C18	BAC_C8	BAC_C10	BAC_C12	BAC_C14	BAC_C16	BAC_C18	ATAC_C8	ATAC_C10	ATAC_C12	ATAC_C14	ATAC_C16	ATAC_C18	ATAC_C20 	ATAC_C22	HOMO	BP3	EHMCZ	EHMC	UV329	UV328	UV327	OCTOC	PFBA	PFPA	PFHXA	PFHPA	PFOA	PFNA	PFDA	PFUNDA	PFDODA	PFTRDA	PFTEDA	PFHXDA	PFOCDA	PFBS	PFPS	PFHXS	PFHPS	PFOS	BRPFOS	PFNS	PFDS	PFUNS	PFDOS	PFTRS	PFTS	PFBSA	NMEFBSA	NETFBSA	PFOSA	NMEFOSA	NETFOSA	NMEFOSE	NETFOSE	ETFOSAA	42FTS	62FTS	82FTS	102FTS	122FTS	ADONA	PFECHS	HFPODA	F-TOT	Fett
Wastewater treated			High purification	ng/L		<4	<9	<4.5	<5	<13	<6.5	detektert	<2.5	<2	<50	<5	<5	7.9	<50	<4	<4	<20	<5	<5	<2	detektert	detektert	60	< 5	< 5	< 1	< 5	230	< 1	< 1	3.1	< 10	< 1	< 25	< 5	< 10	745	< 1	< 1	9	6.4	4072	< 1	< 1	< 1	< 1	< 1	< 1	1	n.a.																																																																																																				<5	191	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	117	407	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	134	<1	<10	<10	<10	<10	<10	<10	4.1	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			High purification	ng/L		<4	<9	<4.5	<5	<13	<6.5	detektert	<2.5	<2	<50	<5	<5	16.6	<50	<4	<4	<20	<5	<5	<2		detektert	22	< 5	< 5	< 1	< 5	188	< 1	< 1	17.6	10	< 1	36	< 5	< 10	1508	< 1	< 1	52	29.3	27725	< 1	< 1	< 1	< 1	< 1	< 1	< 1	n.a.																																																																																																				<5	76.5	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	49.3	142	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	63.1	<1	<10	<10	<10	<10	<10	<10	1.5	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			High purification	ng/L		<4	<9	<4.5	<5	<13	<6.5	detektert	<2.5	<2	<50	<5	<5	9.4	<50	<4	<4	<20	<5	<5	<2		detektert	35	< 5	< 5	< 1	< 5	132	< 1	< 1	3.1	10	< 1	35	< 5	< 10	1503	< 1	< 1	9	2.9	15434	< 1	< 1	< 1	< 1	< 1	< 1	0.9	n.a.																																																																																																				<5	60.9	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	54.2	389	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	21.5	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated			High purification	ng/L		<4	<9	<4.5	<5	<13	<6.5	detektert	<2.5	<2	<50	<5	<5	<5	<50	<4	<4	<20	<5	<5	<2			68	< 5	< 5	< 1	< 5	130	< 1	< 1	3.6	11	< 1	12	< 5	< 10	1617	< 1	< 1	5	3.5	18731	< 1	< 1	< 1	< 1	< 1	< 1	0.8	n.a.																																																																																																				<5	54.8	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<50	<2	<2	<10	<20	51.3	326	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	52.7	<1	<10	<10	<10	<10	<10	<10	<1	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
Wastewater treated		Yes	High purification	ng/g		<90	<210	<110	<110	<300	<150		1134	<45.5	<200	<110	<110	<110	<1100	<90	<90	<450	<110	<110	752			4839	< 30	< 15	< 5	< 20	< 100	< 100	< 5	30	< 100	< 5	196	< 20	< 20	< 3000000	< 5	< 200	< 25	< 10000	2621566	< 2	< 0.5	< 0.5	< 25	< 3	0.92	< 20	n.a.																																																																																																				<10	132.4	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	18.9	37.8	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	42000	<20	<20	<20	5.1	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	High purification	ng/g		<90	<210	<110	<110	<300	<150		667	<45.5	<200	<110	<110	<110	<1100	<90	<90	<450	<110	<110	911			< 3000	< 30	< 15	< 5	< 20	< 100	< 100	< 5	< 25	< 100	< 5	<200	< 20	< 20	< 3000000	< 5	< 200	< 25	< 10000	2549598	< 2	< 0.5	< 0.5	< 25	< 3	0.75	< 20	n.a.																																																																																																				<10	166.6	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	25.5	125	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	21800	<20	<20	<20	<2	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	High purification	ng/g		<90	<210	<110	<110	<300	<150		592	<45.5	<200	<110	<110	<110	<1100	<90	<90	<450	<110	<110	<287			< 3000	< 30	< 15	< 5	< 20	< 100	< 100	< 5	< 25	< 100	< 5	<200	< 20	< 20	< 3000000	< 5	< 200	< 25	< 10000	1923208	< 2	< 0.5	< 0.5	< 25	< 3	0.3	< 20	n.a.																																																																																																				<10	110.8	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	14.1	39.1	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	12300	<20	<20	<20	<2	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated		Yes	High purification	ng/g		<90	<210	<110	<110	<300	<150		667	<45.5	<200	<110	<110	<110	<1100	<90	<90	<450	<110	<110	911			< 3000	< 30	< 15	< 5	< 20	< 100	< 100	< 5	17	< 100	< 5	<200	< 20	< 20	< 3000000	< 5	< 200	< 25	< 10000	3304607	< 2	< 0.5	< 0.5	< 25	< 3	1.37	< 20	n.a.																																																																																																				<10	102	<400	<20	<40	<100	<20	<40	<20	<20	<20	<20	<20	<20	<400	<4	<4	<20	<40	12.4	29.4	<40	<4	<4	<4	<4	<4	<4	<400	<20	<20	<20	<40	<2	<20	<20	17300	59.2	<20	<20	<2	<4	<20	<20	<20	<20	<40	<20	<40	<40	<20	<20																																																																								
Wastewater treated			Sludge_High purification	ng/g		<2	<4.5	<2.3	<2.5	<6.5	<3.3		2958	42.9	2987	<2.5	<2.5	4.3	<25	<2	<2	<10	<2.5	<2.5	590	detektert																																																																																																																																	12.8	4.6	<200	<10	<20	<50	<10	<20	<10	<10	<10	<10	<10	<10	<200	<2	<2	<10	<20	<2	3.8	<20	<2	<2	<2	<2	<2	<2	<200	<10	<10	<10	<20	<1	<10	<10	671	<10	<10	<10	1.2	<2	<10	<10	<10	<10	<20	<10	<20	<20	<10	<10																																																																								
