CAS	short	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	QC_LEVEL	SAFETY_DATA	EXPOCAST	DATA_SOURCES	TOXVAL_DATA	WIKIPEDIA_ARTICLE	QC_NOTES	BIOCONCENTRATION_FACTOR_TEST_PRED	BOILING_POINT_DEGC_TEST_PRED	48HR_DAPHNIA_LC50_MOL/L_TEST_PRED	DENSITY_G/CM^3_TEST_PRED	DEVTOX_TEST_PRED	96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED	FLASH_POINT_DEGC_TEST_PRED	MELTING_POINT_DEGC_TEST_PRED	AMES_MUTAGENICITY_TEST_PRED	ORAL_RAT_LD50_MOL/KG_TEST_PRED	SURFACE_TENSION_DYN/CM_TEST_PRED	THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED	TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED	VISCOSITY_CP_CP_TEST_PRED	VAPOR_PRESSURE_MMHG_TEST_PRED	WATER_SOLUBILITY_MOL/L_TEST_PRED	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	OPERA_PKAA_OPERA_PRED	OPERA_PKAB_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOLL_OPERA_PRED	LOGD5.5	LOGD7.4	READY_BIO_DEG	EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY	TOXCAST_NUMBER_OF_ASSAYS/TOTAL	TOXCAST_PERCENT_ACTIVE
15721-78-5	BOPA	N,N-Bis(4-tert-octylphenyl)amine	C28H43N	393.659	1	Y	Y	39	Y	 	 	3515.6	339.904	2.61216E-07	0.836	0.576	1.25893E-07	188.853	91.028	-0.015	0.0121339	 	 	1.42233E-06	 	2.74789E-07	3.89045E-08	2.87115E-11	6140.12	28.1789	392.998	9.91093E-08	5.26018	10.3197	35819.9	9.902	45.7155	 	4.72	1.0334E-09	1.02322E-05	9.83	9.9	0	0.000211	1/234	0.43
04.01.3081	7PPD	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine	C19H26N2	282.431	1	Y	Y	38	Y	 	 	185.353	362.884	3.59749E-06	1.004	0.64	1.34277E-06	224.07	103.354	0.306	0.0054325	 	153.243	2.97852E-06	34.9945	1.24165E-08	4.45656E-06	1.88473E-11	366.872	2.69298	361.377	1.77684E-07	0.804139	9.34039	2291.35	4.76024	72.6906	 	4.21	4.99624E-10	5.36452E-05	4.74	4.76	0	0.00000141	 	 
101-87-1	CPPD	N-Cyclohexyl-N'-phenyl-4-phenylenediamine	C18H22N2	266.388	1	Y	Y	28	Y	 	 	154.17	356.265	1.13501E-05	1.082	0.616	1.1722E-06	233.355	122.094	0.397	0.00391742	 	161.625	1.38676E-05	30.2691	7.60326E-09	1.47911E-05	1.46175E-11	528.748	28.6206	361.879	3.69103E-08	0.745288	9.34922	17803.4	4.00598	113.077	 	4.61	2.6702E-10	0.00232207	3.96	4.01	0	0.000000601	 	 
883-93-2	PhBT	2-Phenylbenzothiazole	C13H9NS	211.28	2	Y	Y	16	 	 	Loaded based on no conflicts with this data in chemid and pubchem	194.536	324.476	1.35207E-05	1.239	0.226	 	170.718	134.309	0.478	0.0140929	 	 	3.65595E-05	 	3.05492E-05	0.000020797	5.30944E-11	178.844	34.2993	370.948	0.000154106	0.301809	7.92957	12046.8	4.258	114.821	 	0.8	9.79651E-05	1.77084E-05	4.26	4.26	0	0.00000392	 	 
793-24-8	6PPD	6PPD	C18H24N2	268.404	1	Y	Y	63	Y	Y	 	188.799	354.473	5.14044E-06	1.011	0.559	1.87499E-06	211.716	103.698	0.327	0.00548277	 	153.28	4.40555E-06	30.903	1.55955E-08	2.83792E-05	1.44966E-11	614.077	3.14182	361.374	7.6903E-08	0.746415	9.2851	11037.6	3.93983	72.9184	 	4.26	2.50328E-08	0.000437164	3.92	3.94	0	0.000000364	117/234	50
74-31-7	DPPD	N,N'-Diphenyl-p-phenylenediamine	C18H16N2	260.34	1	Y	Y	58	Y	 	 	78.1628	374.394	8.93306E-06	1.12	0.56	9.84011E-07	226.213	154.329	0.34	0.00851138	 	162.226	0.000012106	25.4683	3.38065E-08	0.0000414	1.74914E-11	1314.4	95.3447	397.826	1.26491E-08	0.673082	9.43599	15008.3	2.96025	144.026	 	1.91	6.32783E-09	0.000108763	2.96	2.96	0	0.000000868	41/234	17.52
80-07-9	BCPS	4,4'-Dichlorodiphenyl sulfone	C12H8Cl2O2S	287.15	1	Y	Y	75	Y	Y	 	158.855	331.572	1.46555E-05	1.496	0.641	1.07647E-05	222.948	121.251	0.105	0.00374111	 	 	6.63743E-05	 	4.64515E-06	0.000193642	2.37758E-12	366.38	11.219	358.515	6.18134E-06	0.422363	8.9504	2382.91	3.3139	147.708	 	 	9.13041E-08	0.000013144	3.31	3.31	0	0.00000344	40/500	8
101-72-4	IPPD	N-Isopropyl-N'-phenyl-p-phenylenediamine	C15H18N2	226.323	1	Y	Y	69	Y	Y	 	91.8333	343.686	1.28825E-05	1.043	0.527	6.80769E-06	206.236	85.444	0.054	0.00338844	 	158.686	0.00005188	15.6315	6.45654E-08	0.000446684	1.54445E-11	27.5087	6.51197	363.33	1.08167E-07	0.614368	9.11416	287.057	3.23288	74.0299	 	4.19	8.81653E-08	0.000133946	3.21	3.23	0	0.00000266	227/455	49.89
615-22-5	MBT	2-(Methylthio)benzothiazole	C8H7NS2	181.27	1	Y	Y	66	Y	 	 	27.9898	255.634	0.000103276	1.254	0.504	 	120.814	44.766	0.307	0.00387258	 	 	0.000130317	 	0.00362243	0.00155955	3.76178E-11	9.40572	22.8273	281.964	1.30134E-05	0.125721	7.05967	360.15	3.14988	44.011	8.86	0.74	0.000256763	0.000686626	2.37	0.55	0	0.0000036	2/3	66.67
102-06-7	DPG	1,3-Diphenylguanidine	C13H13N3	211.268	1	Y	Y	88	Y	 	 	20.8449	 	4.31519E-05	1.2	0.61	 	198.873	133.585	0.588	0.00236592	 	 	0.000125026	 	 	0.00204174	6.81852E-11	19.9608	19.7857	273.619	3.71347E-09	0.106339	8.32689	205.881	2.95911	150.124	 	9.84	2.52618E-07	0.00475929	-1.38	0.52	0	0.00000249	88/633	13.9
142648-65-5	OH-BPA	2,2-Bis(4-hydroxyphenyl)-1-propanol	C15H16O3	244.29	2	Y	Y	3	 	 	 	25.2348	381.213	2.84446E-05	1.264	0.667	2.94442E-05	208.644	153.485	0.059	0.00463447	 	172.378	6.35331E-05	9.57194	2.38232E-07	0.00295801	1.62172E-11	37.9082	11.9385	378.074	4.6209E-08	0.863652	9.20831	696.099	3.46519	212.79	10.21	 	1.13162E-07	0.00103916	3.47	3.47	0	0.000000579	 	 
101-37-1	TAC	2,4,6-Tris(allyloxy)-1,3,5-triazine	C12H15N3O3	249.27	1	Y	Y	53	Y	 	 	9.2045	307.534	1.21619E-05	1.107	0.958	1.28233E-05	155.74	20.915	 	0.00333426	 	139.377	0.000168267	 	4.27563E-05	0.00304089	1.3319E-10	29.6411	4.29278	310.214	3.0328E-07	2.44964	8.20375	119.394	2.21876	27.0788	 	3.78	8.11607E-06	0.00211246	2.21	2.22	0	0.000000317	19/365	5.21
1025-15-6	isoTAC	Triallyl isocyanurate	C12H15N3O3	249.27	1	Y	Y	50	Y	 	 	1.45546	 	0.000122462	1.353	 	 	196.687	74.497	0.034	0.00445656	 	 	 	5.05825	1.77011E-07	0.00567545	9.70044E-11	2.43467	3.65342	303.383	7.3144E-06	0.380171	10.4607	98.0569	0.390126	20.6189	5.58	-2.335	1.13004E-07	0.0529554	0.13	-1.44	1	0.00000239	1/234	0.43
136-95-8	ABT	2-Aminobenzothiazole	C7H6N2S	150.2	1	Y	Y	62	Y	 	 	6.39735	267.494	7.72681E-05	1.354	0.418	 	146.996	126.908	0.628	0.00511682	 	 	0.00052723	8.89201	0.000625173	0.00860994	5.9196E-11	2.91546	7.49775	321.374	2.32471E-07	0.137538	8.54494	45.7244	1.91201	132.046	 	4.61	5.67646E-06	0.0023154	1.86	1.91	0	0.0000031	7/237	2.95
934-34-9	OHBT	Benzothiazolone	C7H5NOS	151.18	1	Y	Y	57	 	Y	 	8.22243	262.221	0.000125893	1.383	0.416	 	127.941	126.547	0.445	 	 	 	0.000392645	16.9044	0.00164059	0.0175792	9.99333E-11	4.48146	5.54034	359.842	1.31734E-07	0.109417	8.36156	434.916	1.76175	139.084	5.18	6.831	6.97378E-06	0.00636562	1.27	-0.46	0	0.00000054	1/3	33.33
941-57-1	BTSA	Benzothiazole-2-sulfonic acid	C7H5NO3S2	215.24	2	Y	Y	15	 	 	Loaded based on no conflicts with this data in chemid and pubchem	6.03949	322.095	 	1.561	0.731	 	 	168.602	0.21	 	 	 	 	 	 	0.0219786	1.2578E-12	5.34103	11.1887	307.692	1.15752E-07	0.101338	8.76422	33.7886	1.9309	173.486	1.57	-0.788	1.37704E-07	0.166582	-2	-3.9	0	0.000000193	 	 
3089-11-0	HMMM	Hexa(methoxymethyl)melamine	C15H30N6O6	390.441	1	Y	Y	60	 	Y	 	1.22462	358.491	8.51138E-06	1.267	1.24	0.00184927	248.933	50.806	0.415	0.00143219	 	 	 	 	2.01372E-06	0.0251768	1.64979E-11	3.46805	4.13895	326.263	1.21939E-07	5.93912	11.6888	267.21	2.52384	141.285	 	4.87	5.57029E-08	0.00945016	2.43	2.52	0	0.000000516	4/425	0.94
