CAS	short	DTXSID	PREFERRED_NAME	AVERAGE_MASS	WATER_SOLUBILITY_MOLL
15721-78-5	BOPA	DTXSID3029310	N,N-Bis(4-tert-octylphenyl)amine	393.66	1.02E-05
04.01.3081	7PPD	DTXSID5027516	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine	282.43	5.36E-05
101-87-1	CPPD	DTXSID2051508	N-Cyclohexyl-N'-phenyl-4-phenylenediamine	266.39	0.00232207
883-93-2	PhBT	DTXSID80236946	2-Phenylbenzothiazole	211.28	1.77E-05
793-24-8	6PPD	DTXSID9025114	6PPD	268.4	0.000437164
74-31-7	DPPD	DTXSID9020538	N,N'-Diphenyl-p-phenylenediamine	260.34	0.000108763
80-07-9	BCPS	DTXSID9024986	4,4'-Dichlorodiphenyl sulfone	287.15	0.000013144
101-72-4	IPPD	DTXSID1025485	N-Isopropyl-N'-phenyl-p-phenylenediamine	226.32	0.000133946
615-22-5	MTBT	DTXSID70274236	2-(Methylthio)benzothiazole	181.27	0.000686626
102-06-7	DPG	DTXSID3025178	1,3-Diphenylguanidine	211.27	0.00475929
142648-65-5	OH-BPA	DTXSID40349642	2,2-Bis(4-hydroxyphenyl)-1-propanol	244.29	0.00103916
101-37-1	TAC	DTXSID8037754	2,4,6-Tris(allyloxy)-1,3,5-triazine	249.27	0.00211246
1025-15-6	isoTAC	DTXSID0026175	Triallyl isocyanurate	249.27	0.0529554
136-95-8	ABT	DTXSID1024467	2-Aminobenzothiazole	150.2	0.0023154
934-34-9	OHBT	DTXSID6061315	Benzothiazolone	151.18	0.00636562
941-57-1	BTSA	DTXSID80240528	Benzothiazole-2-sulfonic acid	215.24	0.166582
3089-11-0	HMMM	DTXSID9027520	Hexa(methoxymethyl)melamine	390.44	0.00945016
83558-87-6	TMC	DTXSID70888610	2,2-Bis(3-amino-4-hydroxyphenyl)-hexafluoropropane	366.26	0.00009384
63449-39-8	Cereclor	DTXSID1033325	Chlorinated paraffins	545.3	0.00000001
149-30-4	MBT	DTXSID1020807	2-Mercaptobenzothiazole	167.24	0.00067306
26780-96-1	TMQ	DTXSID5025071	1,2-Dihydro-2,2,4-trimethylquinoline, polymer	173.26	0.00000001
2754428-18-5	6PPD-q		6PPD-quinone	298.38	1.27E-07
