group	compound	CAS	Freshwater	Sediment	Biota	biota2
chl	LCCP	63449-39-8	2.9	5.71	560	3200
sem	CTC_CTA	42074-68-0	0.1	60.8	10.7	
sem	BCPS	80-07-9	5.6	12	205	
sem	isoTAC	1025-15-6	10	302.6	24.3	
sem	TAC	101-37-1	7.05	17.29	20.7	
rub	BTSA	941-57-1 	10	33	52	
rub	OHBT	934-34-9	14	320	64	
rub	6PPD	793-24-8 	3.7	2020	2300	
rub	6PPDq	6PPD-Q~	0.095	11	12	
rub	DPPD	74-31-7	0.029	22	38	
rub	IPPD	101-72-4	28	440	770	
rub	TMQ	26780-96-1	6300	75000	55000	
rub	TMMAT	3089-11-0 	0.017	0.25	0.06	
rub	DPG	102-06-7	30	350	600	
bis	44_BPS2	93589-69-6	0.94	254	1.87	
bis	BIS_TMC	83558-87-6	1.6	46.6	0.62	
vol	TCM	67-66-3	2.5	90	193	
vol	DCM	75-09-2	20	163	455	
vol	TCE	79-01-6	10	204	15.8	
vol	PCE	127-18-4	10	90.3	267	
vol	CCl4	56-23-5	12	61.1	164	
vol	DBM	75-27-4	0.051	0.23	0.039	
sil	L6	107-52-8	0.63	1304	25.8	
sil	L7	541-01-5	0.3	1262	0.38	
sil	L8	556-69-4	0.18	587	0.23	
sil	L9	2652-13-3	0.13	302	0.17	
UV	BP_8	131-53-3	0.86	18.8	5.51	
UV	4_HBP	1137-42-4	11	17.2	7.94	
