group	compound	CAS	Freshwater	Sediment	Biota	biota2
chl	LCCP	63449-39-8	2900	5710	560000	3200000
sem	CTC_CTA	42074-68-0	100	60800	10700	
sem	BCPS	80-07-9	5600	12000	205000	
sem	isoTAC	1025-15-6	10000	302600	24300	
rub	TAOT	101-37-1	7.05	17.29	20.7	
rub	BTSA	941-57-1 	10000	33000	52000	
rub	OHBT	934-34-9	14000	320	64	
rub	6PPD	793-24-8 	3700	2020000	2300000	
rub	6PPDq	6PPD-Q~	0.095	11	12	
rub	DPPD	74-31-7	29	22000	38000	
rub	IPPD	101-72-4	28000	440000	770000	
rub	TMQ	26780-96-1	6300000	75000000	55000000	
rub	TMMAT	3089-11-0 	17	250	60	
rub	DPG	102-06-7	30000	350000	600000	
bis	44_BPS2	93589-69-6	940	254000	1870	
bis	BIS_TMC	83558-87-6	1600	46600	620	
vol	TCM	67-66-3	2500	90000	193000	
vol	DCM	75-09-2	20000	163000	455000	
vol	TCE	79-01-6	10000	204000	15800	
vol	PCE	127-18-4	10000	90300	267000	
vol	CCl4	56-23-5	12000	61100	164000	
vol	DBM	75-27-4	51	230	39	
sil	L6	107-52-8	630	1304000	25800	
sil	L7	541-01-5	300	1262000	380	
sil	L8	556-69-4	180	587000	230	
sil	L9	2652-13-3	130	302000	170	
UV	BP_8	131-53-3	860	18800	5510	
UV	4_HBP	1137-42-4	11000	17200	7940	
surf	OP	2687-94-7 	5420	197000	2580	
pest	Amitriptyline	549-18-8	55	18000	29000	
pest	Fexofenadine	83799-24-0	200000	1582098000	253000	
