group	compound	CAS	Freshwater	Sediment	Biota
chl	LCCP	63449-39-8	3000	5710000	580
pest	CTC_CTA	42074-68-0	100	60.8	107
rub	isoTAC	1025-15-6	100000	3000	17
rub	TAC	101-37-1	7000	173	106
rub	BTSA	941-57-1	10000	33	53
rub	OHBT	934-34-9	14000	323	63
rub	6PPD	793-24-8	370	110	27
rub	6PPDq	6PPD-Q~	0.095	0.011	0.002
rub	DPPD	74-31-7	1000	36	38
rub	IPPD	101-72-4	280	1	3.8
rub	TMQ	26780-96-1	56000	21000	6000
rub	TMMAT	3089-11-0	17	0.25	0.06
rub	DPG	102-06-7	30000	2500	21
bis	44_BPS2	93589-69-6	940	254	18.7
bis	BIS_TMC	83558-87-6	1570	46.6	6.24
dis	TCM	67-66-3	146000	450	32.1
dis	DCM	75-09-2	310000	2570	455
dis	TCE	79-01-6	576000	10200	158
dis	PCE	127-18-4	51000	903	524
dis	CCl4	56-23-5	220000	61.1	89.4
dis	DBM	75-27-4	51	0.23	0.39
sil	L6	107-52-8	630	1304	258
sil	L7	541-01-5	300	1262	3.81
sil	L8	556-69-4	180	587	2.28
UV	BP_8	131-53-3	860	18.8	55.1
UV	4_HBP	1137-42-4	11000	172	79.4
surf	OP	2687-94-7	91000	3140	45.9
pest	Amitriptyline	549-18-8	55	18	29
pest	Fexofenadine	83799-24-0	200000	1582098	2529
bis	BCPS	80-07-9	6000	120	802
