group	compound	CAS	Freshwater	Sediment	Biota_freshwater_fish	Biota_marine_fish	Comment	
Pergfast	PF201	232938-43-1	29	514	2.51	0.25	 	
Bisphenol	DABPA	1745-89-7 	2	110			PNEC freshwater for intermittent releases	
Triazine	UV310	154702-15-5	2	17500	0.46	4.64	 	
Triazine	UV1164	2725-22-6	0.0033	492000	0.11	0.011	 	
Triazine	BEMT	187393-00-6	 	 	 	 	ECHA: no hazard identified	
Bisphenol	BPAP2	116-37-0 	18	4970	63.3	20.7	 	
Triazine	TBPHT	31274-51-8					ECHA: no hazard identified	
SVOC	B-2ETF	6422-86-2 	0.08	8280	1.57	1.46	 	
SVOC	CUMIN	122-03-2	6.44	43.4	271	27.1	No PNEC data in ECHA	
SVOC	CBZL	86-74-8	0.26	33.1	34.6	3.46	No PNEC data in ECHA	
SVOC	BDPME	574-42-5 					Not fouund in ECHA or Norman	 
SVOC	TMPID	3910-35-8 	0.12	202	166	16.6	Not found in ECHA	
SVOC	DPMPE	6362-80-7	1	375	19.6	6.13	PNEC freshwater for intermittent releases	
SVOC	BZBA	120-51-4	3	2043	263	114	 	
SVOC	FEFAC	102-20-5	1.54	1270	348	54.6	 	
SVOC	MABT	127-25-3	0.16	141	67.5	6.75	No PNEC data in ECHA	
SVOC	DMPSHEN	54464-57-2	0.33	91.6	119	11.9	Not found in ECHA	
Antioxidant	DTBMMP	2773-50-4 	0.69	58	246	24.6	Not found in ECHA	
PCB	CB28	7012-37-5	0.11	1.7	0.08	126	Not found in ECHA	
PCB	CB52	35693-99-3	0.021	2.7	0.08	486	Not found in ECHA	
PCB	CB101	37680-73-2	0.01	3	0.08	1	Not found in ECHA	
PCB	CB118	31508-00-6	0.01	0.6	1.2	1.78	Not found in ECHA	
PCB	CB138	35065-28-2	0.0035	7.9	0.1	4.42	Not found in ECHA	
PCB	CB153	35065-27-1	0.0046	40	0.05	838	Not found in ECHA	
PCB	CB180	35065-29-3	0.0014	12	0.08	58.7	Not found in ECHA	
PBDE	BDE17	147217-75-2	0.022	169	11674	1167	Not found in ECHA	
PBDE	BDE28	41318-75-6	0.038	500	0.0085	2568	Not found in ECHA	
PBDE	BDE47	5436-43-1	0.016	42.4	0.0085	1116	Not found in ECHA	
PBDE	BDE49	243982-82-3	0.016	494	17762	1776	Not found in ECHA	
PBDE	BDE66	189084-61-5	0.019	614	21644	2164	Not found in ECHA	
PBDE	BDE71	189084-62-6	0.015	467	11551	1155	Not found in ECHA	
PBDE	BDE77	93703-48-1	0.021	656	40193	4019	Not found in ECHA	
PBDE	BDE85	182346-21-0	0.009	259	8250	825	Not found in ECHA	
PBDE	BDE99	60348-60-9	0.5	1435	0.0085	51165	Not found in ECHA	
PBDE	BDE100	189084-64-8	0.0092	264	0.0085	2105	Not found in ECHA	
PBDE	BDE119	189084-66-0	0.025	731	49401	4940	Not found in ECHA	
PBDE	BDE126	366791-32-4	0.012	348	32123	3212	Not found in ECHA	
PBDE	BDE138	182677-30-1	0.0054	68.9	2917	292	Not found in ECHA	
PBDE	BDE153	68631-49-2	0.0064	81.3	0.0085	869	Not found in ECHA	
PBDE	BDE154	207122-15-4	0.0056	69.4	0.0085	790	Not found in ECHA	
PBDE	BDE156	405237-85-6	0.0057	72.8	3057	306	Not found in ECHA	
PBDE	BDE183	207122-16-5	0.0029	42.8	917	91.7	Not found in ECHA	
PBDE	BDE184	117948-63-7	0.0025	36.9	790	79	Not found in ECHA	
PBDE	BDE191	446255-30-7	0.0032	47.8	1022	102	Not found in ECHA	
PBDE	BDE196	446255-39-6	0.0016	27	382	38.2	Not found in ECHA	
PBDE	BDE197	117964-21-3	0.0015	25.4	309	30.9	Not found in ECHA	
PBDE	BDE202	67797-09-5	0.0014	23	649	64.9	Not found in ECHA	
PBDE	BDE206	63387-28-0	0.0011	19.3	308	30.8	Not found in ECHA	
PBDE	BDE207	437701-79-6	0.0011	19.1	622	62.2	Not found in ECHA	
CP	SCCP	85535-84-8	0.5	6500	16.6	0	 	
CP	MCCP	85535-85-9	1	13000				
CP	LCCP	85535-86-0	3	5710000			Obs! found in ECHA under Cas no 63449-39-8	
nBFR	TBECHB	1232836-49-5					Not fouund in ECHA or Norman	
nBFR	TBECHG						Not fouund in ECHA or Norman	
nBFR	BATE	99717-56-3					Not fouund in ECHA or Norman	
nBFR	PBEB 	85-22-3	0.0002	0.8	0.058	0.058	Not found in ECHA	
nBFR	QCB	608-93-5	0.007	1.1	67.7	6.77	Not found in ECHA	
nBFR	HCB	118-74-1	0.05	0.017	0.0097	10	Not found in ECHA	
Dechlorane	DDC_DBF	31107-44-5	0.00035	1.76	0.000035	0.0000035	Not found in ECHA	
Dechlorane	DDC_ANT	13560-92-4	0.00052	0	0.000015	0.0000015	Not found in ECHA	
Dechlorane	DDC_PS	135821-03-3					DP mix: no hazard	
Dechlorane	DDC_PA	135821-74-8					DP mix: no hazard	
Metal	Cr	7440-47-3	6.5	205700	0.1	5978	 	
Metal	Fe	7439-89-6	1000	0	1075050000	107505000	No PNEC data in ECHA	
Metal	Ni	7440-02-0	4	45	0.12	7830	No PNEC data in ECHA	
Metal	Cu	7440-50-8	6.3	87000	10.5	153	 	
Metal	Zn	7440-66-6	14.4	146900	88.2	23228	 	
Metal	As	7440-38-2	5.6	70500	4404	5285	 	
Metal	Se	7782-49-2	2.67	8200	19.2	15.3	 	
Metal	Ag	7440-22-4	0.04	438130	245	2881	 	
Metal	Cd	7440-43-9	0.19	1800	0.05	11061	 	
Metal	Sn	7440-31-5					ECHA: no hazard identified	
Metal	Sb	7440-36-0	113	11200	26.2	41.1	 	
Metal	Pb	7439-92-1	2.4	186000	0.1	22296	 	
Metal	Hg	7439-97-6	0.057	9300	0.055	20	 	
OPFR	TTBPP	78-33-1	0.019	90.3	75.2	7.52	Not found in ECHA	
OPFR_metabolite	DEHPO	298-07-7	412	11820	2.26	180	 	
NIVA_1	DOCDPA	15721-78-5					ECHA: no hazard identified	
