Group	ID	Part2	Part1	Extra
Antioxidant	DTBMMP	2		Scre23
Antioxidant	DTBTMBPD	2		Scre23
Antioxidant	MDBHPP	2		Scre23
Bisphenol	AOZKF		1	Scre23
Bisphenol	DABPA	2	1	Scre23
Bisphenol	XYLENOL		1	Scre23
Bisphenol	T4HPE		1	Scre23
Bisphenol	TMBPA		1	Scre23
Bisphenol	BHPMEBD		1	Scre23
Bisphenol	BPAP2		1	Scre23
CP	SCCP	2		Extra
CP	MCCP	2		Extra
CP	LCCP	2		Extra
Dechlorane	DBALD	2		Extra
Dechlorane	DDC_BBF	2		Extra
Dechlorane	DDC_DBF	2		Extra
Dechlorane	DDC_ANT	2		Extra
Dechlorane	HCTBPH	2		Extra
Dechlorane	DDC_PS	2		Extra
Dechlorane	DDC_PA	2		Extra
Fat	Fett	2	1	Scre23
Metal	CR	2		Extra
Metal	FE	2		Extra
Metal	NI	2		Extra
Metal	CU	2		Extra
Metal	ZN	2		Extra
Metal	AS	2		Extra
Metal	SE	2		Extra
Metal	AG	2		Extra
Metal	CD	2		Extra
Metal	SN	2		Extra
Metal	SB	2		Extra
Metal	PB	2		Extra
Metal	HG	2		Extra
nBFR	ATE	2		Extra
nBFR	TBECHA	2		Extra
nBFR	TBECHB	2		Extra
nBFR	TBECHG	2		Extra
nBFR	BATE	2		Extra
nBFR	PBT	2		Extra
nBFR	PBEB 	2		Extra
nBFR	PBBZ	2		Extra
nBFR	HBBZ	2		Extra
nBFR	DPTE	2		Extra
nBFR	EHTBB	2		Extra
nBFR	BTBPE	2		Extra
nBFR	BEHTBP	2		Extra
nBFR	DBDPE	2		Extra
nBFR	QCB	2		Extra
nBFR	HCB	2		Extra
nBFR	HCBD	2		Extra
NIVA_1	DOCDPA	2	1	Scre23
NIVA_1	FBCLBA	2	1	Scre23
NIVA_1	PEPEPO	2	1	Scre23
NIVA_1	BNDTT	2	1	Scre23
NIVA_1	BEHAMBT	2	1	Scre23
NIVA_1	SG3	2	1	Scre23
NIVA_1	SORFEN	2	1	Scre23
NIVA_1	2BBTMP	2	1	Scre23
NIVA_1	2BHMPTP	2	1	Scre23
NIVA_1	UV360	2	1	Scre23
NIVA_1	UV234	2	1	Scre23
NIVA_1	2BMTP	2	1	Scre23
NIVA_1	TFMBTP	2	1	Scre23
NIVA_1	DTBPPO	2	1	Scre23
NIVA_2	UV329	2	1	Scre23
NIVA_2	QUOX	2	1	Scre23
NIVA_2	UV320	2	1	Scre23
NIVA_2	2BDOMP	2	1	Scre23
NIVA_2	DTBNTP	2	1	Scre23
NIVA_2	NTTMP	2	1	Scre23
NIVA_2	2BDMP	2	1	Scre23
NIVA_2	NTOP	2	1	Scre23
NIVA_2	BENAZOL P	2	1	Scre23
NIVA_2	DTAPBO	2	1	Scre23
NIVA_2	CLBDMP	2	1	Scre23
NIVA_2	UV384	2	1	Scre23
NIVA_3	DPGUAN		1	Scre23
NIVA_3	BMATA		1	Scre23
NIVA_3	MB2BMP		1	Scre23
NIVA_3	2BMPP		1	Scre23
NIVA_3	M1UV328		1	Scre23
NIVA_3	DTBTP		1	Scre23
NIVA_3	BHEP		1	Scre23
NIVA_3	2TBCLBEP		1	Scre23
NIVA_3	UV1130		1	Scre23
NIVA_3	BTHPE		1	Scre23
NIVA_3	HDBTBP		1	Scre23
NIVA_3	DMO2BP		1	Scre23
NIVA_3	KRYFIO		1	Scre23
NIVA_GPC	AO1098		1	Scre23
NIVA_TBT	DBSNMA		1	Scre23
NIVA_vM_Anion	CYANA		1	Scre23
NIVA_vM_Anion	AAMPSA		1	Scre23
NIVA_vM_Anion	NAAHPS		1	Scre23
NIVA_vM_Anion	ETPPBR		1	Scre23
NIVA_vM_Anion	ADNP		1	Scre23
NIVA_vM_Anion	GBLA		1	Scre23
NIVA_vM_Anion	BZDSA		1	Scre23
NIVA_vM_Cation	TEDA		1	Scre23
NIVA_vM_Cation	35DMPZ		1	Scre23
NIVA_vM_Cation	34DMPZP		1	Scre23
NIVA_vM_Cation	34DMPZ		1	Scre23
nPFAS	PFBSA	2		Extra
nPFAS	NMEFBSA	2		Extra
nPFAS	NETFBSA	2		Extra
nPFAS	PFOSA	2		Extra
nPFAS	NMEFOSA	2		Extra
nPFAS	NETFOSA	2		Extra
nPFAS	NMEFOSE	2		Extra
nPFAS	NETFOSE	2		Extra
nPFAS	ETFOSAA	2		Extra
OPFR	TEP	2		Extra
OPFR	TCEP	2		Extra
OPFR	TPRP	2		Extra
OPFR	TCPP	2		Extra
OPFR	TDCP	2		Extra
OPFR	TPHP	2		Extra
OPFR	TIBP	2		Extra
OPFR	TBP	2		Extra
OPFR	TBEP	2		Extra
OPFR	DPHBP	2		Extra
OPFR	DBPHP	2		Extra
OPFR	TCRP	2		Extra
OPFR	EHDPP	2		Extra
OPFR	TIPPP	2		Extra
OPFR	TEHP	2		Extra
OPFR	TTBPP	2		Extra
OPFR	DTBPPO	2		Extra
OPFR_metabolite	BCEP	2		Extra
OPFR_metabolite	BCPP	2		Extra
OPFR_metabolite	DPPO	2		Extra
OPFR_metabolite	DBP	2		Extra
OPFR_metabolite	BDCPP	2		Extra
OPFR_metabolite	BBOEP	2		Extra
OPFR_metabolite	DEHPO	2		Extra
PBDE	BDE17	2		Extra
PBDE	BDE28	2		Extra
PBDE	BDE47	2		Extra
PBDE	BDE49	2		Extra
PBDE	BDE66	2		Extra
PBDE	BDE71	2		Extra
PBDE	BDE77	2		Extra
PBDE	BDE85	2		Extra
