		Analysemetode_id														Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
		Appendikx grouping														Appendix group	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Rubber	Bisphenol	Rubber	Rubber	Rubber	Rubber	Rubber	Pharmaceutical	Pharmaceutical	Pharmaceutical	Pharmaceutical	Pharmaceutical	Surfactantc	Bisphenol	Rubber	Rubber	Pharmaceutical	Bisphenol	Rubber	Rubber	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	UV-additive	UV-additive	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Surfactantc	Surfactantc	Surfactantc	Surfactantc	Surfactantc	Siloxane	Siloxane	Siloxane	Siloxane	Siloxane	Chlorparaffines
		MilDir Group ID														MilDir Group ID	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Rubber Production or Stabilization	Pharmaceutical	Pharmaceutical	Pesticide	Pesticide	Pesticide	Surfactant - Degreaser Industrial/automotive/Dishwashers	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Antisopmiddel	Bisphenol	Rubber Production or Stabilization	Rubber Production or Stabilization	Bisphenol	Bisphenol	Bisphenol	Bisphenol	Bisphenol	UV-Additive	UV-Additive	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	Disinfectant	PFAS	PFAS	PFAS	PFAS	PFAS	Siloxane	Siloxane	Siloxane	Siloxane	Siloxane	LCCP
		Name1														Name1	BT22_1	BT22_2	BT22_3	BT22_4	BT22_5	BT22-6	SC_22-1	SC_22-2	SC_22-4	SC_22-6	SC_22-7	SC_22-8	SC_22-9	SC_22-10	SC_22-11	SC_22-12	SC_22-13	SC_22-14	SC_22-15	SC_22-16	SC_22-17	SC_22-27	SC_22-28	SC_22-29	SC_22-18	SC_22-19	SC_22-20	SC_22-21	SC_22-22	SC_22-23	SC_22-24	SC_22-25	SC_22-26	CTC/CTA	BCPS	isoTAC	TAC	4,4'-ADP	TMBP	OH-BPA	44-BPS2	BIS TMC	BP-8	4-HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12-PFECA	112-PFECA	1112-PFECA	11112-PFECA	13-PFECA	L6	L7	L8	L9	L10	
		CAS_no														CAS_no	136-95-8	941-57-1 	615-22-5	883-93-2	934-34-9	149-30-4	101-87-1	NO CAS#	74-31-7 	93-46-9	101-72-4 	3081-14-9	793-24-8	3081-01-4	101-96-2	81-39-0	93-05-0	92-09-1ÿÿ	68015-60-1ÿÿ	10081-67-1	15721-78-5	3089-11-0 	102-06-7	26780-96-1	549-18-8	83799-24-0	173584-44-6 	120068-37-3	91465-08-6	2687-94-7 	901-44-0 	1025-15-6Test	101-37-1Test	42074-68-0	80-07-9	1025-15-6	101-37-1	51437-66-2	57244-54-9	142648-65-5	93589-69-6	83558-87-6	131-53-3	1137-42-4	67-66-3	75-09-2	79-01-6	127-18-4	56-23-5	75-27-4	674-13-5	39492-88-1	39492-89-2	39492-90-5	377-73-1	107-52-8	541-01-5	556-69-4	2652-13-3	556-70-7	63449-39-8
																Parameter_id	2-Aminobenzothiazole ABT	Benzothiazole-2-sulfonic acid BTSA	2-(Methylthio)benzothiazole MTBT	2-Phenylbenzothiazole PhBT	2-hydroxybenzothiazole OHBT	2-Mercaptobenzothiazole MBT	N-Cyclohexyl-N'-phenyl-4-phenylenediamine (CPPD)	6ppd- quionone	N,N'-Diphenyl-p-phenylenediamine (DPPD)	N,N'-Di-2-naphthyl-p-phenylenediamine (DNPD)	N-Isopropyl-N'-phenyl-p-phenylenediamine (IPPD)	N,N'-Bis(1,4-dimethylpentyl)-4-phenylenediamine (77PD)	ÿN-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine (6PPD)	N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine (7PPD)	N,N'-Bis(1-methylpropyl)-1,4-benzenediamine (44PD)	3-Methyl-6-(p-toluidino)-3H-dibenz(f,ij)isoquinoline-2,7-dione	N,N-Diethyl-p-phenylenediamine	N-{2-[(4-amino-3-methylphenyl)(ethyl)amino]ethyl}methanesulfonamide	4,4'-Bis(2-amino-benzenesulfonyl)bisphenol Ester	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	N,N-Bis(4-tert-octylphenyl)amine	2,4,6- Tris[bis(methoxymethyl)amino]- 1,3,5-triazine	1,3-Diphenylguanidine	Poly(1,2-dihydro-2,2,4-trimethylquinoline)	Amitryptyline	Fexofenadine  	Indoxacarb	Fipronil	?-Cyhalothrin	Octyl-2-pyrrolidoneÿ ÿ	Bisphenol A Bis(2-hydroxyethyl) Ether	Triallyl isocyanurate (1,3,5-Triallyl-1,3,5-triazinane-2,4,6-trione)	2,4,6-Tris(allyloxy)-1,3,5-triazine																												
Provenr	Medium_id	Enhet_id	Latitude	Longitude	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofenadine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	44_BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06909	Water, total	ng/L		N 6648116.03, E 603920.36			44868.000	Appal?kka	Artificial grass pitch	Outdoor			Outdoor	column			<1	34.500	<1	<1	12.800	<1	<1	<1	<1	<1	<1	<1	5.500	<1	<1	<1	<10	<1	<1	<1	<1	<1	391.500	<1						<1	<10	<1	<1	< 1	< 1	0.498	< 5																								1304.000
NR-2022-06910	Water, total	ng/L		N 6644256.21, E 600713.35			7.11.2022	Valle Hovin North	Artificial grass pitch	Outdoor			Outdoor	column			13.100	170.500	<1	<1	174.500	<1	<1	<1	<1	<1	<1	<1	4.000	<1	<1	<1	<10	<1	<1	<1	<1	59.000	111.000	<1						<1	<10	<1	<1	< 1	< 1	< 0.25	< 5																								10.300
NR-2022-06911	Water, total	ng/L		N 6644164.96, E 600860.36			7.11.2022	Valle Hovin East	Artificial grass pitch	Outdoor			Outdoor	column			47.500	1340.000	11.800	7.500	1415.000	<1	<1	320.000	<1	<1	<1	<1	17.000	<1	<1	<1	<10	<1	<1	<1	<1	3230.000	3365.000	130.500						8.000	<10	<1	<1	< 1	< 1	< 0.25	< 5																								1.300
NR-2022-06803	Granule	ng/g		N 6648116.03, E 603920.36			44704.000	Appal?kka	Artificial grass pitch	Outdoor			Outdoor	Grabb			21.900	162.000	23.900	521.000	158.000	45.300	<1	1420.000	41.300	<1	<1	<1	40.800	<1	<1	<1	<10	<1	<1	<1	<1	<1	6300.000	1610.000						<1	<10	<1	<1	< 5	< 2	1.042	< 2																								3935.700
